doc_id	title	text	category
130	가온2칸나눔종지(약14 cm)	가온2칸나눔종지(약14 cm) 기타 미분류	기타 > 미분류
131	트윙클 벨벳 뜨개실 40 g 에메랄드그린	트윙클 벨벳 뜨개실 40 g 에메랄드그린 반려동물 강아지용품	반려동물 > 강아지용품
132	노랑 투명 테이프 12 mm X 25 m 4개입	노랑 투명 테이프 12 mm X 25 m 4개입 문구/팬시 사무용품	문구/팬시 > 사무용품
133	오브맘 비타민D＆아연 하루구미 30일분	오브맘 비타민D＆아연 하루구미 30일분 기타 미분류	기타 > 미분류
134	개인 정보 지우개 10 ml 라벤더 향	개인 정보 지우개 10 ml 라벤더 향 반려동물 강아지용품	반려동물 > 강아지용품
135	클리어 바구니 29.3X9.5X6.2cm	클리어 바구니 29.3X9.5X6.2cm 수납/정리 수납함	수납/정리 > 수납함
136	잘라 쓰는 소스병 300ml	잘라 쓰는 소스병 300ml 기타 미분류	기타 > 미분류
137	오브맘 멀티비타민＆미네랄 하루구미 30일분	오브맘 멀티비타민＆미네랄 하루구미 30일분 기타 미분류	기타 > 미분류
138	본셉 비타씨 크림 50 ml	본셉 비타씨 크림 50 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
139	VT PDRN 광채에센스 2 ml 6개입	VT PDRN 광채에센스 2 ml 6개입 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
140	광천 재래 곱창 김 4 g X 3봉	광천 재래 곱창 김 4 g X 3봉 기타 미분류	기타 > 미분류
141	우레아 10 풋크림 100ml	우레아 10 풋크림 100ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
142	투명 박스 테이프 48 mm X 70 m	투명 박스 테이프 48 mm X 70 m 문구/팬시 사무용품	문구/팬시 > 사무용품
143	물티슈케이스	물티슈케이스 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
144	AHC 에이지리뉴 아이크림 링클 30 ml	AHC 에이지리뉴 아이크림 링클 30 ml 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
145	자석용 보조 설치판 3 X 3 cm 6개입	자석용 보조 설치판 3 X 3 cm 6개입 문구/팬시 학용품	문구/팬시 > 학용품
146	모노톤 펜꽂이 블랙	모노톤 펜꽂이 블랙 기타 미분류	기타 > 미분류
147	링링 유어솔루션 클리어케어 (벤잘코늄염화물)	링링 유어솔루션 클리어케어 (벤잘코늄염화물) 식품 음료	식품 > 음료
148	[펫] 이나바 트윈컵 테린 참치＆닭가슴살＆치어 35 g X 2개입	[펫] 이나바 트윈컵 테린 참치＆닭가슴살＆치어 35 g X 2개입 주방용품 잔/컵/물병	주방용품 > 잔/컵/물병
149	네오플램 스마트씰 원형 1.1L	네오플램 스마트씰 원형 1.1L 기타 미분류	기타 > 미분류
150	캡 뚜껑 소스병 대형 480 ml	캡 뚜껑 소스병 대형 480 ml 기타 미분류	기타 > 미분류
151	실리콘 용기 500 ml	실리콘 용기 500 ml 기타 미분류	기타 > 미분류
152	태화 베이킹소다 1kg	태화 베이킹소다 1kg 기타 미분류	기타 > 미분류
153	가방 잠금 솔트레지 12 mm 4개입 실버	가방 잠금 솔트레지 12 mm 4개입 실버 패션/잡화 가방/파우치	패션/잡화 > 가방/파우치
154	스푼 포함 3가지 타입 유리 양념통 300 ml	스푼 포함 3가지 타입 유리 양념통 300 ml 기타 미분류	기타 > 미분류
155	정사각 밀폐 용기 1 L 아이보리	정사각 밀폐 용기 1 L 아이보리 기타 미분류	기타 > 미분류
156	에그캡슐팩	에그캡슐팩 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
157	2단 도어스토퍼 2개입	2단 도어스토퍼 2개입 반려동물 강아지용품	반려동물 > 강아지용품
158	교체형 먼지떨이 리필 5개입	교체형 먼지떨이 리필 5개입 반려동물 강아지용품	반려동물 > 강아지용품
159	VT 리들샷 페이셜 리페어 EGF 에센스 2ml*6개입	VT 리들샷 페이셜 리페어 EGF 에센스 2ml*6개입 뷰티/위생 스킨케어	뷰티/위생 > 스킨케어
160	TV 전용 통합 리모컨	TV 전용 통합 리모컨 기타 미분류	기타 > 미분류
161	부착가능 봉 홀더 (2개입)	부착가능 봉 홀더 (2개입) 반려동물 강아지용품	반려동물 > 강아지용품
162	요리용 면 주머니 소 27X35cm	요리용 면 주머니 소 27X35cm 기타 미분류	기타 > 미분류
163	일본제 키링 디스플레이 케이스	일본제 키링 디스플레이 케이스 기타 미분류	기타 > 미분류
164	핸드 믹서기 모형 작동 완구	핸드 믹서기 모형 작동 완구 유아/완구 완구	유아/완구 > 완구
165	까망 고양이 스티커 4매입	까망 고양이 스티커 4매입 문구/팬시 노트/메모	문구/팬시 > 노트/메모
166	다리미 모형 전동 완구	다리미 모형 전동 완구 유아/완구 완구	유아/완구 > 완구
167	누렁이 스티커 4매입	누렁이 스티커 4매입 문구/팬시 노트/메모	문구/팬시 > 노트/메모
168	EVA 푹신 쿠션 슬리퍼 230~250 mm 옐로우	EVA 푹신 쿠션 슬리퍼 230~250 mm 옐로우 뷰티/위생 메이크업	뷰티/위생 > 메이크업
169	니트릴 장갑 120매 M 화이트	니트릴 장갑 120매 M 화이트 패션/잡화 우산/장갑	패션/잡화 > 우산/장갑
170	꽃다발 풍선	꽃다발 풍선 기타 미분류	기타 > 미분류
171	닥터오렌지 곰팡이 제거 젤 150g	닥터오렌지 곰팡이 제거 젤 150g 기타 미분류	기타 > 미분류
172	트래펑 배수관 세정제 1 L	트래펑 배수관 세정제 1 L 뷰티/위생 헤어/바디	뷰티/위생 > 헤어/바디
173	실리콘 용기 250 ml	실리콘 용기 250 ml 기타 미분류	기타 > 미분류
174	뚜껑 수납함 소형	뚜껑 수납함 소형 수납/정리 수납함	수납/정리 > 수납함
175	니트릴 장갑 화이트 대형 100매입	니트릴 장갑 화이트 대형 100매입 패션/잡화 우산/장갑	패션/잡화 > 우산/장갑
176	블루나 물티슈 90매 (캡형)	블루나 물티슈 90매 (캡형) 뷰티/위생 화장지/물티슈	뷰티/위생 > 화장지/물티슈
177	3M 스카치 다용도 테이프 디스펜서 12mmX21m	3M 스카치 다용도 테이프 디스펜서 12mmX21m 문구/팬시 사무용품	문구/팬시 > 사무용품
178	자우버 알콜 스왑 100매입	자우버 알콜 스왑 100매입 문구/팬시 학용품	문구/팬시 > 학용품
179	미니 LED 핸디 선풍기 그린	미니 LED 핸디 선풍기 그린 기타 미분류	기타 > 미분류
180	감성 편지 세트 4세트 핑크	감성 편지 세트 4세트 핑크 기타 미분류	기타 > 미분류
181	일체형 직사각 투명 정리함 약 16.5 X 9.5 X 9 cm	일체형 직사각 투명 정리함 약 16.5 X 9.5 X 9 cm 수납/정리 수납함	수납/정리 > 수납함
182	네오셀 알카라인 건전지 LR03 AAA 10개입	네오셀 알카라인 건전지 LR03 AAA 10개입 공구/디지털 건전지	공구/디지털 > 건전지
